Stock Code,Stock Name
00568,SHANDONG MOLONG
00570,TRAD CHI MED
00571,ESUN HOLDINGS
00572,FUTURE WORLD FH
00573,TAO HEUNG HLDGS
00574,PASHUN INT'L
00575,REGENT PACIFIC
00576,ZHEJIANGEXPRESS
00577,SOUTH SHORE HLD
00578,ROSAN RES
00579,JNCEC
00580,SUN.KING ELEC
00581,CHINA ORIENTAL
00582,LANDING INTL
00583,GWPA HOLDINGS
00585,IMAGI INT'L
00586,CONCH VENTURE
00587,HUA HAN HEALTH
00588,BEIJING N STAR
00590,LUK FOOK HOLD
00591,C HIGHPRECISION
00592,BOSSINI INT'L
00593,DREAMEAST
00595,AV CONCEPT HOLD
00596,INSPUR INT'L
00598,SINOTRANS
00599,E. BON HOLDINGS
00600,CHINA INFRA INV
00601,REMT
00602,JIAHUA STORES H
00603,CHINA OIL & GAS
00604,SHENZHEN INVEST
00605,C FIN SERVICES
00606,CHINA AGRI
00607,FULLSHARE
00608,HIGH FASHION
00609,TIANDE CHEMICAL
00610,WAI KEE HOLD
00611,CNE TECH CORP
00612,CHINA DYF
00613,PLANETREE INT'L
00616,EMINENCE ENT
00617,PALIBURG HOLD
00618,PKU RESOURCES
00619,SOUTH CHINA FIN
00620,DTXS SILK ROAD
00621,TAUNG GOLD
00622,OSHIDORI
00623,SINOMEDIA
00625,RREEF CCT REIT
00626,PUBLIC FIN HOLD
00627,FULLSUN INT'L
00628,GOME FIN TECH
00629,YUE DA INTL
00630,AMCO UNITED
00631,SANY INT'L
00632,PEARLORIENT OIL
00633,CH ALL ACCESS
00635,PLAYMATES
00636,KERRY LOG NET
00637,LEE KEE
00638,KIN YAT HOLD
00639,SHOUGANG RES
00640,INFINITY DEV
00641,CHTC FONG'S INT
00643,CARRY WEALTH
00645,ARES ASIA
00646,CHINA ENV TEC
00647,JOYCE BOUTIQUE
00648,WAH YAN-NEW
00650,IDG ENERGY INV
00651,CHI OCEAN IND
00653,BONJOUR HOLD
00655,HK CHINESE LTD
00656,FOSUN INTL
00657,G-VISION INT'L
00658,C TRANSMISSION
00659,NWS HOLDINGS
00660,WAI CHUN BIOTEC
00661,CDAYENONFER
00662,ASIA FINANCIAL
00663,KING STONE ENGY
00665,HAITONG INT'L
00666,SHK HK IND
00667,CHINA EAST EDU
00668,DOYEN INTL HOLD
00669,TECHTRONIC IND
00670,CHINA EAST AIR
00672,ZHONGAN GROUP
00673,CHINA HEALTH
00674,CHINA TANGSHANG
00675,K & P INT'L
00676,PEGASUS INT'L
00677,GOLDEN RES DEV
00678,GENTING HK
00679,ASIA TELE-NET
00680,NAN HAI CORP
00681,CHI PEOPLE HOLD
00682,CHAODA MODERN
00683,KERRY PPT
00684,ALLAN INT'L
00685,MEDIA CHINESE
00686,PANDA GREEN
00687,TYSAN HOLDINGS
00688,CHINA OVERSEAS
00689,EPI (HOLDINGS)
00690,UNI-BIO GROUP
00691,SHANSHUI CEMENT
00692,SHENZHOU PARK
00693,TAN CHONG INT'L
00694,BEIJING AIRPORT
00695,DONGWU CEMENT
00696,TRAVELSKY TECH
00697,SHOUGANG INT'L
00698,TONGDA GROUP
00699,CAR INC
00700,TENCENT
00701,CNT GROUP
00702,SINO OIL & GAS
00703,FUTURE BRIGHT
00704,HUSCOKE HLDGS
00705,DINGHE MINING
00706,BEAUTI C HOLD
00707,ATV HOLDINGS
00708,EVERG HEALTH
00709,GIORDANO INT'L
00710,BOE VARITRONIX
00711,ASIA ALLIED INF
00712,COMTEC SOLAR
00713,WORLD HOUSEWARE
00715,CHINA OCEANWIDE
00716,SINGAMAS CONT
00717,EMPEROR CAPITAL
00718,TAI UNITED HOLD
00719,SHANDONG XINHUA
00720,AUTO ITALIA
00721,C FIN INT INV
00722,UMP
00723,SUSTAIN FOREST
00724,RUIXIN INT'L
00725,PERENNIAL INT'L
00726,CMDIT
00727,CROWNICORP
00728,CHINA TELECOM
00729,FDG EVEHICLES
00730,SHOUGANG GRAND
00731,SAMSON PAPER
00732,TRULY INT'L
00733,HOPEFLUENT
00736,CHINA PPT INV
00737,BAY AREA DEV
00738,LE SAUNDA
00743,ASIA CEMENT CH
00745,CN CULTURE GP
00746,L & M CHEMICAL
00747,SHENYANG PUBLIC
00750,SINGYES SOLAR
00751,SKYWORTH GROUP
00752,PICO FAR EAST
00753,AIR CHINA
00754,HOPSON DEV HOLD
00755,SHANGHAI ZENDAI
00756,SUMMI
00757,SOLARGIGA
00758,MACROLINK CAP
00759,CEC INT'L HOLD
00760,TALENT PPT GP
00762,CHINA UNICOM
00763,ZTE
00764,ETERNITY INV
00765,PERFECTECH INTL
00766,SINO PROSPER GP
00767,APSR INV
00768,UBA INVESTMENTS
00769,CHINA RAREEARTH
00770,SHANGHAI GROWTH
00771,AUTOMATED SYS
